id,salary
31747,6888787.0
31748,4221040.0
31749,3791107.5
31750,14103356.0
31751,7802420.0
31752,4613873.5
31753,5548811.0
31754,19675422.0
31755,6030948.5
31756,9039882.0
31757,4425975.5
31758,3940010.5
31759,3550941.8
31760,15811179.0
31761,4974178.0
31762,5510548.0
31763,5260666.5
31764,7109684.5
31765,5098661.0
31766,5320107.5
31767,1825906.0
31768,6688057.5
31769,4237961.5
31770,11275845.0
31771,4479536.0
31772,5834040.5
31773,7259078.0
31774,6336494.5
31775,8917301.0
31776,7901689.0
31777,5277515.5
31778,4435806.5
31779,11114800.0
31780,14239371.0
31781,4390523.5
31782,10747897.0
31783,4329783.5
31784,4619410.0
31785,7604001.0
31786,5007847.5
31787,4819869.0
31788,4521119.5
31789,6355410.5
31790,4133063.2
31791,4725830.5
31792,3200462.8
31793,13069473.0
31794,6622367.0
31795,5239972.0
31796,6117599.5
31797,3028312.8
31798,4183756.8
31799,5341995.0
31800,4349362.5
31801,7869424.0
31802,4606272.0
31803,6210923.5
31804,3854068.5
31805,4349639.5
31806,4684346.5
31807,6347199.0
31808,4183756.8
31809,11922383.0
31810,5100216.5
31811,2762192.0
31812,5817568.5
31813,3027941.0
31814,21247248.0
31815,5185337.0
31816,4877726.5
31817,14090436.0
31818,6330196.5
31819,8027793.5
31820,6285438.0
31821,4145418.8
31822,7749831.0
31823,7573431.0
31824,4349639.5
31825,20999098.0
31826,10232416.0
31827,13124759.0
31828,4145418.8
31829,7648549.0
31830,4183756.8
31831,5462870.5
31832,3456632.0
31833,6275063.5
31834,3506562.8
31835,10298971.0
31836,8147706.5
31837,7323608.5
31838,9371838.0
31839,7749831.0
31840,4473704.0
31841,5344181.0
31842,5708221.0
31843,13336735.0
31844,3800852.5
31845,7426905.0
31846,10156754.0
31847,3232861.0
31848,5214604.5
31849,11145676.0
31850,6610822.5
31851,4081780.0
31852,4697743.0
31853,3491131.5
31854,5619832.5
31855,3433730.0
31856,5450436.5
31857,14694975.0
31858,5327211.5
31859,4220355.5
31860,12202566.0
31861,6578055.5
31862,4377913.5
31863,9032139.0
31864,3348427.0
31865,5657062.5
31866,9213958.0
31867,3854068.5
31868,7282817.5
31869,3200462.8
31870,6891203.5
31871,9040294.0
31872,4431280.0
31873,4628178.0
31874,6525627.0
31875,5071090.5
31876,3307291.8
31877,3370777.2
31878,4689142.0
31879,3106647.8
31880,4942195.0
31881,17687104.0
31882,7231818.0
31883,2850466.2
31884,5750127.5
31885,6284231.0
31886,4232413.5
31887,7185821.5
31888,4393571.5
31889,5514760.5
31890,11487951.0
31891,32923510.0
31892,2692026.0
31893,3506562.8
31894,4732392.0
31895,3742884.2
31896,7737749.5
31897,6106412.5
31898,5059786.0
31899,4418613.0
31900,6957351.5
31901,5537063.0
31902,8080384.5
31903,7926705.0
31904,7543386.5
31905,4619598.0
31906,8638583.0
31907,3642583.5
31908,3258358.8
31909,8875958.0
31910,3063543.8
31911,3097760.5
31912,5671301.0
31913,6407037.0
31914,13632826.0
31915,4998417.5
31916,4619598.0
