id,salary
31747,5277751.921369017
31748,4165968.8729210026
31749,3744671.2603219384
31750,11568851.789447714
31751,7063255.468534034
31752,7321064.546111225
31753,5611868.075108705
31754,17308797.36191977
31755,6586503.243631671
31756,6983568.725946652
31757,5228857.548306857
31758,3447340.8384932964
31759,3758918.8333648494
31760,14063099.510144837
31761,5281260.707845858
31762,4811983.288021082
31763,5516103.695513929
31764,5971863.491864948
31765,3902478.922439037
31766,5571368.841988475
31767,2660483.7163672233
31768,7520364.429937664
31769,4767601.645278156
31770,11075084.689120233
31771,4691931.594447793
31772,5127715.788422704
31773,6129506.396913492
31774,4942415.309774277
31775,7169364.155304008
31776,7688772.937827181
31777,5051095.08672292
31778,4458283.580520267
31779,9767540.232529897
31780,14147301.638051124
31781,4648122.338999767
31782,8475400.079565922
31783,4037964.6051006946
31784,4262662.156778808
31785,7629729.996046629
31786,5165682.783779973
31787,4357033.738834456
31788,4717283.368596619
31789,4127826.2838897053
31790,4204953.356352881
31791,5025303.753215592
31792,3115974.0007983777
31793,15617238.891122147
31794,7529698.867748687
31795,5136710.644853039
31796,9397547.17957964
31797,2022066.3115216997
31798,4113656.4967604144
31799,5774347.558941549
31800,4222144.969086189
31801,7828285.103401214
31802,4059969.68976749
31803,4997247.053981818
31804,5251710.456051679
31805,3953276.7100067064
31806,4605267.632540686
31807,5462238.428714786
31808,4113656.4967604144
31809,12022165.427275628
31810,4573929.615333077
31811,2946852.848026064
31812,5217234.2486885665
31813,4007800.1034516897
31814,14378516.562512778
31815,5188407.09201078
31816,5041097.116024042
31817,13496155.991701853
31818,4084297.927925355
31819,8748205.522316292
31820,5812368.271320247
31821,4902463.409791189
31822,7902643.911847781
31823,7357629.456825111
31824,3953276.7100067064
31825,22357519.179985866
31826,6922439.07802308
31827,14374217.695156723
31828,4902463.409791189
31829,6935964.637143085
31830,4113656.4967604144
31831,6758737.409551199
31832,3572968.225974969
31833,8358663.150230207
31834,3941905.9816207075
31835,10490821.518542936
31836,7260720.51690677
31837,8356016.605647423
31838,7715130.154939435
31839,7902643.911847781
31840,5415528.823383616
31841,4839428.9991773125
31842,5485629.21652144
31843,11879502.152662903
31844,5002324.029059506
31845,6299252.249681024
31846,10915244.328894895
31847,3114399.4035913297
31848,6279597.851179938
31849,10986513.636851963
31850,6993090.46631428
31851,4599785.501481151
31852,4758288.102882747
31853,3889719.4421254992
31854,5377483.76009797
31855,3806600.518381994
31856,5281753.997517374
31857,12204744.159233553
31858,4908774.486195123
31859,4107001.387237768
31860,12138188.181848485
31861,5490686.036460472
31862,4449551.422030376
31863,6983761.12211253
31864,4945448.218063853
31865,5313094.124981189
31866,10341051.629635468
31867,5251710.456051679
31868,8212072.379741377
31869,3115974.0007983777
31870,6956784.839938361
31871,11651759.595842283
31872,5158966.921894753
31873,4686980.591854622
31874,6001455.193416844
31875,4207429.90292716
31876,3739662.5854021837
31877,3487368.285350483
31878,5105920.781963345
31879,4080286.8527048607
31880,6732305.609098161
31881,17943400.582883626
31882,6843138.926890903
31883,3975948.035018082
31884,6024221.935093457
31885,5694678.597604247
31886,5447780.856152745
31887,6106959.240495386
31888,5016012.695206527
31889,5038336.4893077705
31890,14023424.28011228
31891,24539261.726937827
31892,3715912.176852438
31893,3941905.9816207075
31894,5432303.096867627
31895,4114638.35551797
31896,9023243.354701558
31897,5863408.809993645
31898,5015461.490322275
31899,5020021.946739325
31900,6399505.6527664075
31901,6245211.168356817
31902,7515889.815437748
31903,7085106.014245494
31904,9079424.002106028
31905,4997425.714440322
31906,8252424.102414239
31907,3927532.721676975
